label	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Source	Hybrid Capture Sequencing
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-1		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	DSMZ	yes
PANC0504_PANCREAS	Panc 05.04		F	pancreas	carcinoma	NS	ATCC	
DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy		M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	ATCC	yes
SW403_LARGE_INTESTINE	SW403		F	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
SW1573_LUNG	SW 1573		F	lung	carcinoma	squamous_cell_carcinoma	ATCC	yes
RPMI7951_SKIN	RPMI-7951		F	skin	malignant_melanoma	NS	ATCC	yes
NCIH69_LUNG	NCI-H69	H69	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81		M	central_nervous_system	glioma	astrocytoma_Grade_IV	HSRRB	
JHOM2B_OVARY	JHOM-2B			ovary	carcinoma	adenocarcinoma	RIKEN	yes
SNU869_BILIARY_TRACT	SNU-869	NCI-SNU-869		biliary_tract	carcinoma	NS	KCLB	yes
TUHR14TKB_KIDNEY	TUHR14TKB			kidney	carcinoma	NS	RIKEN	yes
DM3_PLEURA	DM-3		M	pleura	mesothelioma	NS	DSMZ	yes
CALU3_LUNG	Calu-3		M	lung	carcinoma	adenocarcinoma	ATCC	yes
HS821T_BONE	Hs 821.T		F	bone	giant_cell_tumour	NS	ATCC	yes
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
WM1799_SKIN	WM1799			skin	malignant_melanoma	NS	Academic Lab	yes
KNS62_LUNG	KNS-62		M	lung	carcinoma	squamous_cell_carcinoma	HSRRB	yes
GP2D_LARGE_INTESTINE	GP2d		F	large_intestine	carcinoma	adenocarcinoma	ECACC	yes
SNUC5_LARGE_INTESTINE	SNU-C5		F	large_intestine	carcinoma	adenocarcinoma	KCLB	yes
YMB1_BREAST	YMB-1		F	breast	carcinoma	NS	HSRRB	
HCC1954_BREAST	HCC1954		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
BEN_LUNG	BEN		M	lung	carcinoma	NS	DSMZ	yes
KPNYN_AUTONOMIC_GANGLIA	KP-N-YN			autonomic_ganglia	neuroblastoma	NS	HSRRB	yes
HCC78_LUNG	HCC-78		M	lung	carcinoma	adenocarcinoma	DSMZ	yes
NCIH292_LUNG	NCI-H292	H292 | H292	F	lung	carcinoma	mucoepidermoid_carcinoma	ATCC	
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS4;11		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	ATCC	yes
647V_URINARY_TRACT	647-V		M	urinary_tract	carcinoma	transitional_cell_carcinoma	DSMZ	yes
NCIH2196_LUNG	NCI-H2196	H2196	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
LXF289_LUNG	LXF-289		M	lung	carcinoma	adenocarcinoma	DSMZ	yes
RKO_LARGE_INTESTINE	RKO			large_intestine	carcinoma	adenocarcinoma	ATCC	yes
SLR20_KIDNEY	SLR 20			kidney	carcinoma	renal_cell_carcinoma	Academic Lab / Achilles	
DU4475_BREAST	DU4475		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
SNU1214_UPPER_AERODIGESTIVE_TRACT	SNU-1214	NCI-SNU-1214	M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	KCLB	yes
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	DSMZ	yes
HCC1806_BREAST	HCC1806		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
LOVO_LARGE_INTESTINE	LoVo		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
PANC0203_PANCREAS	Panc 02.03		F	pancreas	carcinoma	NS	ATCC	yes
LS411N_LARGE_INTESTINE	LS411N		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
U87MG_CENTRAL_NERVOUS_SYSTEM	U-87 MG		F	central_nervous_system	glioma	astrocytoma	ATCC	yes
NCIH522_LUNG	NCI-H522	H522	M	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
NCIH1838_LUNG	NCI-H1838	H1838	F	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
HS840T_UPPER_AERODIGESTIVE_TRACT	Hs 840.T		M	upper_aerodigestive_tract	other	papilloma	ATCC	yes
SCC15_UPPER_AERODIGESTIVE_TRACT	SCC-15		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ATCC	yes
NCIH650_LUNG	NCI-H650	H650	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma	ATCC	yes
SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU-1076	NCI-SNU-1076	M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	KCLB	yes
JHOM1_OVARY	JHOM-1			ovary	carcinoma	adenocarcinoma	RIKEN	yes
HS281T_BREAST	Hs 281.T		F	breast	carcinoma	NS	ATCC	yes
WM88_SKIN	WM-88			skin	malignant_melanoma	NS	Academic Lab	yes
NCIH460_LUNG	NCI-H460	H460	M	lung	carcinoma	large_cell_carcinoma	ATCC	yes
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB-19		M	central_nervous_system	glioma	astrocytoma_Grade_IV	DSMZ	
DU145_PROSTATE	DU 145		M	prostate	carcinoma	NS	ATCC	yes
NCIH2122_LUNG	NCI-H2122	H2122	F	lung	carcinoma	adenocarcinoma	ATCC	yes
A498_KIDNEY	A-498		F	kidney	carcinoma	renal_cell_carcinoma	ATCC	yes
CAOV4_OVARY	Caov-4		F	ovary	carcinoma	adenocarcinoma	ATCC	yes
CORL51_LUNG	COR-L51		M	lung	carcinoma	small_cell_carcinoma	ECACC	yes
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU-1105	NCI-SNU-1105	M	central_nervous_system	glioma	astrocytoma_Grade_IV	KCLB	yes
NCIH1341_LUNG	NCI-H1341	H1341	F	lung	carcinoma	small_cell_carcinoma	ATCC	yes
ZR7530_BREAST	ZR-75-30		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
HCC1359_LUNG	HCC-1359		F	lung	carcinoma	large_cell_carcinoma	KCLB	yes
SKNSH_AUTONOMIC_GANGLIA	SK-N-SH		F	autonomic_ganglia	neuroblastoma	NS	ATCC	yes
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	HSRRB	yes
SHSY5Y_AUTONOMIC_GANGLIA	SH-SY5Y		F	autonomic_ganglia	neuroblastoma	NS	ATCC	yes
NCIH1385_LUNG	NCI-H1385	H1385	F	lung	carcinoma	squamous_cell_carcinoma	ATCC	yes
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56		F	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ECACC	yes
HCC1599_BREAST	HCC1599		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
RCC10RGB_KIDNEY	RCC10RGB			kidney	carcinoma	renal_cell_carcinoma	RIKEN	yes
SNU5_STOMACH	SNU-5	NCI-SNU-5	F	stomach	carcinoma	undifferentiated_adenocarcinoma	ATCC	yes
HRT18_LARGE_INTESTINE	HRT-18		M	large_intestine	carcinoma	adenocarcinoma	ECACC	yes
RERFLCMS_LUNG	RERF-LC-MS			lung	carcinoma	non_small_cell_carcinoma	HSRRB	yes
A2058_SKIN	A2058		M	skin	malignant_melanoma	NS	ATCC	yes
HS618T_LUNG	Hs 618.T		F	lung	carcinoma	adenocarcinoma	ATCC	yes
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M-07e	MO7e	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
IGROV1_OVARY	IGROV1		F	ovary	carcinoma	adenocarcinoma	NCI/DCTD	yes
BFTC905_URINARY_TRACT	BFTC-905		F	urinary_tract	carcinoma	transitional_cell_carcinoma	DSMZ	yes
UMUC3_URINARY_TRACT	UM-UC-3		M	urinary_tract	carcinoma	transitional_cell_carcinoma	ATCC	yes
COLO680N_OESOPHAGUS	COLO-680N		F	oesophagus	carcinoma	squamous_cell_carcinoma	DSMZ	yes
CHP126_AUTONOMIC_GANGLIA	CHP-126		F	autonomic_ganglia	neuroblastoma	NS	DSMZ	
SAOS2_BONE	Saos-2		F	bone	osteosarcoma	NS	ATCC	yes
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JJN-3		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	DSMZ	yes
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	RIKEN	yes
HPAFII_PANCREAS	HPAF-II		M	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
HN_UPPER_AERODIGESTIVE_TRACT	HN		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	DSMZ	
NCIH1915_LUNG	NCI-H1915	H1915	F	lung	carcinoma	large_cell_carcinoma	ATCC	yes
RS5_PLEURA	RS-5		M	pleura	mesothelioma	NS	DSMZ	yes
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-299		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	DSMZ	yes
SNU175_LARGE_INTESTINE	SNU-175	NCI-SNU-175	F	large_intestine	carcinoma	NS	KCLB	yes
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NU-DHL-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
SH4_SKIN	SH-4		F	skin	malignant_melanoma	NS	ATCC	yes
NCIH1435_LUNG	NCI-H1435	H1435	F	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
CORL105_LUNG	COR-L105		M	lung	carcinoma	adenocarcinoma	ECACC	
CAL54_KIDNEY	CAL-54		M	kidney	carcinoma	renal_cell_carcinoma	DSMZ	yes
NCIH1694_LUNG	NCI-H1694	H1694	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO-677		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	DSMZ	
NCIH2171_LUNG	NCI-H2171	H2171 | H-2171	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG		F	central_nervous_system	glioma	astrocytoma_Grade_IV	ATCC	yes
CALU6_LUNG	Calu-6		F	lung	carcinoma	undifferentiated_carcinoma	ATCC	yes
HS944T_SKIN	Hs 944.T		M	skin	malignant_melanoma	NS	ATCC	yes
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia	HSRRB	yes
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP-1		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	ATCC	yes
MDAMB175VII_BREAST	MDA-MB-175-VII		F	breast	carcinoma	ductal_carcinoma	ATCC	
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-37		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	yes
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-13		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
IGR37_SKIN	IGR-37		M	skin	malignant_melanoma	NS	DSMZ	yes
CORL95_LUNG	COR-L95		M	lung	carcinoma	small_cell_carcinoma	ECACC	yes
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-M1			haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
NCIH2110_LUNG	NCI-H2110	H2110		lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH-157MN			central_nervous_system	meningioma	NS	Academic Lab / Achilles	
HS939T_SKIN	Hs 939.T		F	skin	malignant_melanoma	NS	ATCC	
SNU1197_LARGE_INTESTINE	SNU-1197	NCI-SNU-1197	M	large_intestine	carcinoma	NS	KCLB	yes
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-2		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	DSMZ	yes
NCIH1869_LUNG	NCI-H1869	H1869	M	lung	carcinoma	squamous_cell_carcinoma	ATCC	yes
SNU245_BILIARY_TRACT	SNU-245	NCI-SNU-245		biliary_tract	carcinoma	NS	KCLB	yes
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	ATCC	yes
HT144_SKIN	HT-144		M	skin	malignant_melanoma	NS	ATCC	yes
HS695T_SKIN	Hs 695T		M	skin	malignant_melanoma	NS	ATCC	yes
